"key","edition","sender","senderID","senderPlace","senderPlaceID","senderDate","senderDateText","addressee","addresseeID","addresseePlace","addresseePlaceID","addresseeDate","addresseeDateText","page","note"
"1","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1666-09-21","21. September 1666","Gottlieb Spizel","http://d-nb.info/gnd/118616315","Augsburg","http://www.geonames.org/2954172","","","",""
"2","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1666-11-01","1. November 1666","Balthasar Scheidt","http://d-nb.info/gnd/101010893","Straßburg","http://www.geonames.org/2973783","","","",""
"3","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1666-11-16","16. November 1666","Balthasar Bebel","http://d-nb.info/gnd/11609902X","Straßburg","http://www.geonames.org/2973783","","","",""
"4","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-04-09","9. April 1667","Gottlieb Spizel","http://d-nb.info/gnd/118616315","Augsburg","http://www.geonames.org/2954172","","","",""
"5","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-04-09","9. April 1667","Elias Veiel","http://d-nb.info/gnd/117360201","Ulm","http://www.geonames.org/2820256","","","",""
"6","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","[1667-03..1667-06]","[Frühjahr 1667]","[einen Frankfurter Bürger]","","","","","","",""
"7","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-07-31","31. Juli 1667","Balthasar Scheidt","http://d-nb.info/gnd/101010893","Straßburg","http://www.geonames.org/2973783","","","",""
"8","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-08-01","1. August 1667","Johann Heinrich Boecler","http://d-nb.info/gnd/116217014","Straßburg","http://www.geonames.org/2973783","","","",""
"9","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-08-23","23. August 1667","Johann Heinrich Boecler","http://d-nb.info/gnd/116217014","Straßburg","http://www.geonames.org/2973783","","","",""
"10","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-09-23","23. September 1667","[Johann Michael Dilherr]","http://d-nb.info/gnd/118525697","[Nürnberg]","http://www.geonames.org/2861650","","","",""
"11","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","[..1667-09-29]","[vor 29. September 1667]","[einen Frankfurter Bürger]","","","","","","",""
"12","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-10-18","18. Oktober 1667","[einen Frankfurter Bürger]","","","","","","",""
"13","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-10-18","18. Oktober 1667","[Johann Michael Dilherr]","http://d-nb.info/gnd/118525697","[Nürnberg]","http://www.geonames.org/2861650","","","",""
"14","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-11-09","9. November 1667","[einen Frankfurter Bürger]","","","","","","",""
"15","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667-12-13","13. Dezember 1667","[einen Frankfurter Bürger]","","","","","","",""
"16","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1667","[1667?]","[einen Unbekannten]","","","","","","",""
"17","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1668-02-05","5. Februar 1668","[einen Frankfurter Bürger]","","","","","","",""
"18","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1668-03-19","19. März 1668","Johann Caspar Bauhin","http://d-nb.info/gnd/116087285","Basel","http://www.geonames.org/2661604","","","",""
"19","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1668-03-30","30. März 1668","Gottlieb Spizel","http://d-nb.info/gnd/118616315","Augsburg","http://www.geonames.org/2954172","","","",""
"20","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1668-07-24","24. Juli 1668","Gottlieb Spizel","http://d-nb.info/gnd/118616315","Augsburg","http://www.geonames.org/2954172","","","",""
"21","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1668-08-10","10. August 1668","Elias Veiel","http://d-nb.info/gnd/117360201","Ulm","http://www.geonames.org/2820256","","","",""
"22","SpBr-F-1","Philipp Jakob Spener","http://d-nb.info/gnd/118616099","Frankfurt a. M.","http://www.geonames.org/2925533","1668-08-22","22. August 1668","Johann Matthäus Faber","http://d-nb.info/gnd/100793037","Neuenstadt","http://www.geonames.org/2865560","","","",""
